bergsmaLowerThreshold;;;;;;;;;bergsmaKeepThreshold;;;;;;;;;lastNSentences;;;;;;;;;lastNSentences_sameEntity;;;;;;;;;
TP;TN;FP;FN;;;;;;TP;TN;FP;FN;;;;;;TP;TN;FP;FN;;;;;;TP;TN;FP;FN;;;;;;
24;0;17;0;;;;;;23;0;17;1;;;;;;28;381;137;13;;;;;;87;320;78;74;;;;;;
26;0;26;0;;;;;;22;0;21;9;;;;;;28;487;110;21;;;;;;82;440;56;68;;;;;;
200;0;56;0;;;;;;200;0;52;4;;;;;;219;3012;856;34;;;;;;782;2666;293;380;;;;;;
29;0;30;0;;;;;;29;0;28;2;;;;;;38;769;163;20;;;;;;86;701;115;88;;;;;;
80;0;44;0;;;;;;80;0;38;6;;;;;;92;1153;275;30;;;;;;209;1004;158;179;;;;;;
17;0;24;0;;;;;;17;0;21;3;;;;;;24;390;113;13;;;;;;56;369;81;34;;;;;;
40;0;29;0;;;;;;38;0;25;6;;;;;;42;758;209;21;;;;;;168;665;83;114;;;;;;
87;0;62;0;;;;;;87;0;57;5;;;;;;109;1669;414;36;;;;;;238;1464;285;241;;;;;;
37;0;15;0;;;;;;37;0;14;1;;;;;;40;489;120;9;;;;;;82;459;78;39;;;;;;
42;0;19;0;;;;;;42;0;17;2;;;;;;50;706;117;7;;;;;;119;625;48;88;;;;;;
